,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 0.157, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",86.60(0.55),88.98(0.07),nan(nan),nan(nan),49.96(0.04),42.21(0.66)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",87.00(0.00),88.93(0.00),nan(nan),nan(nan),49.93(0.00),41.81(0.21)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",87.00(0.00),88.93(0.00),nan(nan),nan(nan),49.93(0.00),42.06(0.47)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",86.60(0.55),88.98(0.07),nan(nan),nan(nan),49.96(0.04),40.80(0.09)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",87.00(0.00),88.93(0.00),nan(nan),nan(nan),49.93(0.00),41.29(0.30)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",87.00(0.00),88.93(0.00),nan(nan),nan(nan),49.93(0.00),41.80(0.97)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 1}",86.60(0.55),88.98(0.07),nan(nan),nan(nan),49.96(0.04),41.55(0.14)
"{'T': 8, 'gamma': 0.157, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",86.00(0.00),89.06(0.00),25.25(1.15),6.84(0.08),50.00(0.00),41.21(0.26)
"{'T': 8, 'gamma': 0.157, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",13.80(0.84),98.24(0.11),93.59(0.04),91.66(0.10),93.91(0.06),42.07(0.74)
"{'T': 8, 'gamma': 0.157, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",87.20(1.30),88.91(0.17),nan(nan),nan(nan),49.91(0.09),42.02(0.52)
"{'T': 8, 'gamma': 0.157, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",417.60(6.69),46.87(0.85),15.77(2.24),6.40(0.14),27.84(0.48),41.75(0.51)
"{'T': 8, 'gamma': 0.157, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",177.60(44.35),77.40(5.64),48.57(1.36),12.80(2.84),52.64(2.95),41.46(0.23)
"{'T': 8, 'gamma': 0.157, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",90.00(0.71),88.55(0.09),nan(nan),nan(nan),49.71(0.05),42.15(0.51)
