,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",9173.60(60.15),51.77(0.32),49.21(0.27),63.21(0.14),49.87(0.21),5.17(0.09)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",9156.20(84.36),51.86(0.44),49.19(0.40),63.32(0.22),49.88(0.35),5.80(0.70)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",12330.80(1.92),35.17(0.01),nan(nan),nan(nan),50.00(0.01),6.30(0.20)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",12332.00(0.00),35.16(0.00),nan(nan),nan(nan),50.00(0.00),6.16(0.46)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",12332.00(0.00),35.16(0.00),nan(nan),nan(nan),50.00(0.00),6.47(0.39)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",12332.00(0.00),35.16(0.00),nan(nan),nan(nan),50.00(0.00),6.33(0.41)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",12332.00(0.00),35.16(0.00),nan(nan),nan(nan),50.00(0.00),5.40(0.30)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",12332.00(0.00),35.16(0.00),nan(nan),nan(nan),50.00(0.00),6.33(0.10)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",12332.00(0.00),35.16(0.00),nan(nan),nan(nan),50.00(0.00),6.39(0.18)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",12332.00(0.00),35.16(0.00),nan(nan),nan(nan),50.00(0.00),6.21(0.36)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",12332.00(0.00),35.16(0.00),nan(nan),nan(nan),50.00(0.00),5.94(0.51)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 1}",12332.00(0.00),35.16(0.00),nan(nan),nan(nan),50.00(0.00),5.55(0.76)
"{'T': 8, 'gamma': 15.0, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",6762.20(22.87),64.45(0.12),48.45(1.48),62.64(1.11),52.04(0.45),6.42(0.08)
"{'T': 8, 'gamma': 15.0, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",6748.40(19.97),64.52(0.10),48.55(0.87),62.61(0.56),52.03(0.34),5.46(0.40)
"{'T': 8, 'gamma': 15.0, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",12329.60(1.34),35.18(0.01),nan(nan),nan(nan),50.00(0.01),5.64(0.47)
"{'T': 8, 'gamma': 15.0, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",9202.40(7.33),51.62(0.04),48.91(0.27),62.85(0.29),49.69(0.21),6.09(0.63)
"{'T': 8, 'gamma': 15.0, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",9216.20(72.92),51.54(0.38),48.86(0.45),62.78(0.40),49.70(0.38),6.50(0.09)
"{'T': 8, 'gamma': 15.0, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",12330.40(0.89),35.17(0.00),nan(nan),nan(nan),50.00(0.01),6.64(0.25)
"{'T': 8, 'gamma': 15.0, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",9658.00(94.11),49.22(0.49),49.94(0.39),63.55(0.46),49.74(0.22),6.55(0.07)
"{'T': 8, 'gamma': 15.0, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",8873.00(132.99),53.35(0.70),49.59(0.31),63.48(0.35),50.20(0.24),6.55(0.06)
"{'T': 8, 'gamma': 15.0, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",12329.80(1.79),35.17(0.01),nan(nan),nan(nan),50.00(0.01),6.53(0.07)
"{'T': 8, 'gamma': 15.0, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",12329.60(1.95),35.18(0.01),nan(nan),nan(nan),49.99(0.01),6.36(0.27)
"{'T': 8, 'gamma': 15.0, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",12329.80(1.30),35.17(0.01),nan(nan),nan(nan),49.99(0.00),5.75(0.54)
"{'T': 8, 'gamma': 15.0, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",12329.80(0.45),35.17(0.00),nan(nan),nan(nan),50.00(0.00),5.61(0.51)
"{'T': 8, 'gamma': 15.0, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",12329.60(2.30),35.18(0.01),nan(nan),nan(nan),49.99(0.01),6.16(0.25)
"{'T': 8, 'gamma': 15.0, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",12329.80(1.64),35.17(0.01),nan(nan),nan(nan),49.99(0.01),6.53(0.12)
"{'T': 8, 'gamma': 15.0, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",12329.80(0.45),35.17(0.00),nan(nan),nan(nan),50.00(0.00),5.86(0.67)
"{'T': 8, 'gamma': 15.0, 'alpha': 1, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",12192.00(179.55),35.90(0.94),nan(nan),nan(nan),50.02(0.15),6.10(0.36)
"{'T': 8, 'gamma': 15.0, 'alpha': 1, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",12325.80(4.09),35.20(0.02),nan(nan),nan(nan),50.00(0.01),6.22(0.16)
"{'T': 8, 'gamma': 15.0, 'alpha': 1, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",12330.40(0.55),35.17(0.00),nan(nan),nan(nan),50.00(0.00),6.39(0.06)
"{'T': 8, 'gamma': 15.0, 'alpha': 1, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",12331.80(0.45),35.16(0.00),nan(nan),nan(nan),50.00(0.00),6.52(0.09)
"{'T': 8, 'gamma': 15.0, 'alpha': 1, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",12331.80(0.45),35.16(0.00),nan(nan),nan(nan),50.00(0.00),5.76(0.33)
"{'T': 8, 'gamma': 15.0, 'alpha': 1, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",12332.00(0.00),35.16(0.00),nan(nan),nan(nan),49.99(0.00),5.99(0.44)
"{'T': 8, 'gamma': 15.0, 'alpha': 1, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",12331.80(0.45),35.16(0.00),nan(nan),nan(nan),50.00(0.00),6.22(0.37)
"{'T': 8, 'gamma': 15.0, 'alpha': 1, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",12331.80(0.45),35.16(0.00),nan(nan),nan(nan),50.00(0.00),6.12(0.52)
"{'T': 8, 'gamma': 15.0, 'alpha': 1, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",12332.00(0.00),35.16(0.00),nan(nan),nan(nan),49.99(0.00),6.50(0.24)
"{'T': 8, 'gamma': 15.0, 'alpha': 1, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",12331.80(0.45),35.16(0.00),nan(nan),nan(nan),50.00(0.00),6.42(0.18)
"{'T': 8, 'gamma': 15.0, 'alpha': 1, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",12331.80(0.45),35.16(0.00),nan(nan),nan(nan),50.00(0.00),6.24(0.46)
