,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",24716.80(0.84),24.09(0.00),nan(nan),nan(nan),50.00(0.00),62.25(2.11)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",13923.40(74.19),57.24(0.23),50.15(0.32),76.08(0.14),50.19(0.30),63.36(1.99)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",13798.60(56.64),57.62(0.17),50.18(0.28),76.24(0.23),49.92(0.18),60.88(0.49)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",24716.80(0.84),24.09(0.00),nan(nan),nan(nan),50.00(0.00),60.56(0.62)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",16158.20(47.10),50.38(0.14),49.85(0.29),76.13(0.15),49.91(0.25),60.87(0.69)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",7901.00(21.13),75.73(0.06),50.55(0.63),76.37(0.23),50.00(0.06),60.94(1.02)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",24715.20(0.45),24.10(0.00),nan(nan),nan(nan),50.01(0.00),60.94(0.47)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",8215.20(329.58),74.77(1.01),56.25(6.71),79.56(3.77),51.30(2.02),61.82(1.43)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",7843.40(0.55),75.91(0.00),50.68(0.22),76.32(0.17),50.00(0.00),61.58(1.04)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",24716.20(1.30),24.09(0.00),nan(nan),nan(nan),50.01(0.00),61.54(0.21)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",7846.60(4.77),75.90(0.01),56.56(5.14),79.56(3.36),50.02(0.02),61.31(0.40)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",7845.80(0.45),75.90(0.00),50.76(0.20),76.34(0.15),50.00(0.00),61.92(1.31)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",24716.20(1.30),24.09(0.00),nan(nan),nan(nan),50.01(0.00),62.87(1.00)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",13992.80(78.76),57.03(0.24),50.18(0.22),76.17(0.17),50.05(0.19),62.44(1.36)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",13774.00(88.47),57.70(0.27),50.20(0.32),76.17(0.24),50.06(0.27),63.72(2.63)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 1}",24716.20(1.30),24.09(0.00),nan(nan),nan(nan),50.01(0.00),61.67(0.48)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",13922.00(80.21),57.24(0.25),50.13(0.28),76.07(0.12),50.18(0.29),61.06(0.72)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",13777.20(86.56),57.69(0.27),50.08(0.42),76.19(0.30),49.98(0.35),60.65(0.70)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",24716.20(1.64),24.09(0.01),nan(nan),nan(nan),50.00(0.01),60.75(0.75)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",16151.20(26.62),50.40(0.08),49.85(0.32),76.12(0.16),49.89(0.30),63.90(2.98)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",7882.40(24.38),75.79(0.07),50.46(0.51),76.33(0.20),49.99(0.02),62.93(0.93)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",24714.80(1.64),24.10(0.01),nan(nan),nan(nan),50.01(0.00),61.09(1.22)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",11690.80(1400.49),64.10(4.30),50.71(2.78),76.59(1.75),50.19(1.80),59.82(0.33)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",7845.40(3.21),75.91(0.01),50.50(0.16),76.20(0.07),50.01(0.01),60.40(0.60)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",24715.60(1.52),24.09(0.00),nan(nan),nan(nan),50.01(0.00),59.85(0.47)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",7842.40(0.55),75.91(0.00),49.52(0.10),75.84(0.07),50.01(0.00),60.57(0.50)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",7842.00(0.00),75.92(0.00),49.42(0.08),75.74(0.07),50.01(0.00),60.38(0.18)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",24716.80(0.84),24.09(0.00),nan(nan),nan(nan),50.00(0.00),60.95(0.38)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",13965.60(17.17),57.11(0.05),50.23(0.17),76.12(0.09),50.13(0.13),61.53(0.45)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",13776.80(32.28),57.69(0.10),50.12(0.24),76.18(0.21),49.93(0.20),61.54(0.49)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",24716.80(0.84),24.09(0.00),nan(nan),nan(nan),50.00(0.00),62.51(3.77)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",16157.80(51.24),50.38(0.16),49.86(0.29),76.13(0.14),49.91(0.25),61.93(1.61)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",7901.60(16.13),75.73(0.05),50.54(0.64),76.32(0.24),49.99(0.04),62.80(0.91)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",24715.20(0.45),24.10(0.00),nan(nan),nan(nan),50.01(0.00),62.79(2.59)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",8254.60(164.40),74.65(0.50),73.11(1.06),89.11(0.54),63.29(1.21),62.01(0.69)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",7843.80(0.45),75.91(0.00),51.78(0.19),76.87(0.13),50.00(0.00),63.20(0.40)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",24716.20(1.30),24.09(0.00),nan(nan),nan(nan),50.01(0.00),61.93(0.74)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",7837.80(8.96),75.93(0.03),61.18(3.39),83.58(1.83),50.17(0.07),62.68(0.53)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",7846.00(0.00),75.90(0.00),51.76(0.16),76.90(0.12),50.00(0.00),62.60(0.97)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",24716.20(1.30),24.09(0.00),nan(nan),nan(nan),50.01(0.00),62.10(0.61)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",13210.20(63.23),59.43(0.19),50.04(0.32),76.07(0.30),49.83(0.25),62.25(0.52)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",13098.00(32.47),59.77(0.10),50.13(0.03),76.17(0.08),49.89(0.09),62.16(0.95)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 1, 'beta1': 1, 'beta2': 1}",24716.60(1.14),24.09(0.00),nan(nan),nan(nan),50.00(0.00),62.69(0.92)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",13922.20(79.75),57.24(0.24),50.13(0.28),76.07(0.12),50.18(0.28),61.59(1.00)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",13772.60(78.23),57.70(0.24),50.09(0.39),76.19(0.30),49.96(0.29),60.58(1.00)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",24716.20(1.64),24.09(0.01),nan(nan),nan(nan),50.00(0.01),60.37(1.04)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",16151.20(26.67),50.40(0.08),49.85(0.32),76.12(0.16),49.89(0.29),61.94(0.66)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",7886.00(21.78),75.78(0.07),50.49(0.52),76.33(0.21),49.98(0.01),61.05(0.86)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",24714.80(1.64),24.10(0.01),nan(nan),nan(nan),50.01(0.00),60.94(0.99)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",11729.40(1399.67),63.98(4.30),50.70(2.76),76.59(1.74),50.18(1.81),62.58(2.34)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",7850.20(2.68),75.89(0.01),50.50(0.16),76.20(0.06),50.00(0.01),60.63(0.65)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",24715.60(1.52),24.09(0.00),nan(nan),nan(nan),50.01(0.00),60.44(0.48)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",7842.40(0.55),75.91(0.00),49.63(0.08),75.85(0.08),50.01(0.00),61.65(0.14)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",7842.00(0.00),75.92(0.00),49.49(0.09),75.76(0.11),50.01(0.00),62.22(0.40)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",24716.80(0.84),24.09(0.00),nan(nan),nan(nan),50.00(0.00),61.09(0.87)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",13919.60(69.26),57.25(0.21),50.13(0.32),76.07(0.15),50.21(0.28),60.38(0.12)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",13754.00(88.19),57.76(0.27),50.21(0.35),76.26(0.22),50.05(0.28),60.48(0.49)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",24716.80(0.84),24.09(0.00),nan(nan),nan(nan),50.00(0.00),60.89(0.67)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",16166.20(42.03),50.35(0.13),49.83(0.31),76.11(0.14),49.89(0.25),60.75(0.84)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",7917.80(22.82),75.68(0.07),50.57(0.63),76.36(0.24),50.00(0.07),61.26(1.15)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",24715.40(0.89),24.10(0.00),nan(nan),nan(nan),50.01(0.00),61.40(0.55)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",8269.20(352.89),74.60(1.08),56.13(6.95),79.57(3.84),51.35(2.04),60.32(0.55)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",7843.80(0.45),75.91(0.00),50.93(0.28),76.47(0.20),50.00(0.00),62.43(4.92)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",24716.20(1.30),24.09(0.00),nan(nan),nan(nan),50.01(0.00),65.79(6.20)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",7845.60(4.04),75.90(0.01),56.57(5.33),79.55(3.45),50.04(0.03),56.36(5.35)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",7845.80(0.45),75.90(0.00),50.99(0.24),76.48(0.18),50.00(0.00),70.97(0.82)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",24716.20(1.30),24.09(0.00),nan(nan),nan(nan),50.01(0.00),68.31(3.99)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",14098.60(31.60),56.70(0.10),50.03(0.19),76.06(0.11),49.87(0.14),70.60(1.79)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",13789.00(105.45),57.65(0.32),50.32(0.40),76.25(0.22),50.14(0.44),61.66(10.69)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 1}",24716.20(1.30),24.09(0.00),nan(nan),nan(nan),50.01(0.00),63.24(9.12)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",13922.20(79.75),57.24(0.24),50.13(0.28),76.07(0.12),50.18(0.28),55.84(8.90)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",13772.60(78.23),57.70(0.24),50.09(0.39),76.19(0.30),49.96(0.29),50.40(2.33)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",24716.20(1.64),24.09(0.01),nan(nan),nan(nan),50.00(0.01),61.72(10.52)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",16151.20(26.67),50.40(0.08),49.85(0.32),76.12(0.16),49.89(0.29),61.80(8.42)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",7886.00(21.78),75.78(0.07),50.49(0.52),76.33(0.21),49.98(0.01),69.00(4.15)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",24714.80(1.64),24.10(0.01),nan(nan),nan(nan),50.01(0.00),56.01(11.33)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",11729.40(1399.67),63.98(4.30),50.70(2.76),76.59(1.74),50.18(1.81),47.67(0.56)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",7850.20(2.68),75.89(0.01),50.50(0.16),76.20(0.06),50.00(0.01),45.75(1.10)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",24715.60(1.52),24.09(0.00),nan(nan),nan(nan),50.01(0.00),45.52(4.36)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",7842.40(0.55),75.91(0.00),49.63(0.08),75.85(0.08),50.01(0.00),43.14(0.77)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",7842.00(0.00),75.92(0.00),49.49(0.09),75.76(0.11),50.01(0.00),42.53(0.26)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",24716.80(0.84),24.09(0.00),nan(nan),nan(nan),50.00(0.00),43.24(0.87)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",13925.00(75.01),57.23(0.23),50.15(0.32),76.08(0.14),50.18(0.30),43.78(0.83)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",13799.60(57.31),57.62(0.18),50.18(0.29),76.24(0.23),49.92(0.18),44.50(0.57)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",24716.80(0.84),24.09(0.00),nan(nan),nan(nan),50.00(0.00),42.50(0.15)
"{'T': 16, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",16165.80(41.76),50.35(0.13),49.83(0.31),76.11(0.14),49.90(0.25),44.99(0.84)
