,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",269.20(0.84),64.95(0.11),nan(nan),nan(nan),49.95(0.16),0.17(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",269.60(0.55),64.90(0.07),nan(nan),nan(nan),49.87(0.10),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",269.00(0.00),64.97(0.00),nan(nan),nan(nan),49.99(0.00),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",269.20(0.84),64.95(0.11),nan(nan),nan(nan),49.95(0.16),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",269.60(0.55),64.90(0.07),nan(nan),nan(nan),49.87(0.10),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",269.00(0.00),64.97(0.00),nan(nan),nan(nan),49.99(0.00),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",269.20(0.84),64.95(0.11),nan(nan),nan(nan),49.95(0.16),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 1}",269.60(0.55),64.90(0.07),nan(nan),nan(nan),49.87(0.10),0.21(0.07)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",273.20(3.42),64.43(0.45),46.26(0.72),32.46(0.31),49.64(0.24),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",271.00(1.58),64.71(0.21),46.33(0.41),32.43(0.44),49.77(0.14),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",285.80(22.91),62.79(2.98),48.87(nan),34.02(nan),50.25(0.60),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",368.80(6.87),51.98(0.89),48.30(1.22),35.07(1.14),48.85(0.97),0.17(0.00)
