,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",12332.60(0.55),35.16(0.00),nan(nan),nan(nan),49.98(0.00),4.55(0.07)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",9254.60(79.08),51.34(0.42),49.57(0.34),63.17(0.36),50.02(0.36),4.54(0.05)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",9212.80(77.35),51.56(0.41),49.98(0.58),63.45(0.45),50.28(0.48),4.51(0.01)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",12331.00(2.35),35.17(0.01),nan(nan),nan(nan),49.99(0.01),4.45(0.06)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",12331.20(0.84),35.17(0.00),nan(nan),nan(nan),50.00(0.00),4.59(0.09)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",12331.40(0.89),35.17(0.00),nan(nan),nan(nan),50.00(0.01),4.54(0.04)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",12332.00(1.22),35.16(0.01),nan(nan),nan(nan),49.99(0.01),4.42(0.11)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",12331.20(0.84),35.17(0.00),nan(nan),nan(nan),50.00(0.00),4.35(0.07)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",12331.40(0.89),35.17(0.00),nan(nan),nan(nan),50.00(0.01),4.32(0.01)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",12332.00(1.22),35.16(0.01),nan(nan),nan(nan),49.99(0.01),4.36(0.07)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",12331.20(0.84),35.17(0.00),nan(nan),nan(nan),50.00(0.00),4.36(0.07)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",12331.40(0.89),35.17(0.00),nan(nan),nan(nan),50.00(0.01),4.32(0.01)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 1}",12332.00(1.22),35.16(0.01),nan(nan),nan(nan),49.99(0.01),4.35(0.06)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",7039.00(59.33),62.99(0.31),48.35(1.58),62.49(1.56),51.84(0.17),4.31(0.07)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",7045.40(3.78),62.96(0.02),48.86(0.23),63.05(0.19),51.85(0.08),4.28(0.01)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",12329.80(3.83),35.17(0.02),nan(nan),nan(nan),49.99(0.02),4.34(0.08)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",9177.40(31.51),51.75(0.17),49.58(0.19),63.23(0.12),50.03(0.09),4.29(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",9228.00(49.58),51.48(0.26),49.36(0.15),63.10(0.19),49.74(0.25),4.33(0.08)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",12328.80(2.95),35.18(0.02),nan(nan),nan(nan),50.00(0.02),4.36(0.07)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",9638.80(54.96),49.32(0.29),49.72(0.16),63.29(0.25),49.57(0.28),4.34(0.08)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",8949.80(81.48),52.95(0.43),49.62(0.48),63.43(0.40),50.30(0.31),4.30(0.01)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",12329.20(1.30),35.18(0.01),nan(nan),nan(nan),50.00(0.01),4.35(0.08)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",11363.20(1439.32),40.26(7.57),51.83(nan),64.45(nan),50.19(0.55),4.30(0.01)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",12115.00(177.18),36.30(0.93),nan(nan),nan(nan),50.07(0.14),4.34(0.07)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",12333.20(1.10),35.16(0.01),nan(nan),nan(nan),49.98(0.01),4.34(0.08)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",10739.80(1827.89),43.53(9.61),51.05(1.07),64.23(0.43),50.50(0.70),4.29(0.01)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",11984.60(306.51),36.99(1.61),nan(nan),nan(nan),50.14(0.20),4.33(0.07)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",12332.60(0.55),35.16(0.00),nan(nan),nan(nan),49.98(0.00),4.33(0.08)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",9186.00(35.92),51.70(0.19),49.64(0.08),63.34(0.16),50.18(0.19),4.30(0.01)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",9221.60(62.47),51.52(0.33),49.63(0.34),63.33(0.23),49.96(0.39),4.33(0.08)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",12331.20(1.92),35.17(0.01),nan(nan),nan(nan),49.99(0.01),4.34(0.08)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",12331.60(0.89),35.17(0.00),nan(nan),nan(nan),50.00(0.01),4.33(0.01)
