,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 3.191, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",46901.00(143.20),53.91(0.14),50.23(0.26),11.22(0.08),50.22(0.17),46.74(0.67)
"{'T': 8, 'gamma': 3.191, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",37855.40(548.69),62.80(0.54),49.93(0.20),11.12(0.10),49.92(0.21),46.10(0.28)
"{'T': 8, 'gamma': 3.191, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",11361.40(0.89),88.84(0.00),nan(nan),nan(nan),50.00(0.00),45.94(0.10)
"{'T': 8, 'gamma': 3.191, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",18565.00(5827.25),81.76(5.73),49.16(0.21),10.92(0.06),49.88(0.23),45.58(0.30)
"{'T': 8, 'gamma': 3.191, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",11757.80(24.77),88.45(0.02),nan(nan),nan(nan),49.99(0.00),46.15(0.41)
"{'T': 8, 'gamma': 3.191, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",11360.20(0.45),88.84(0.00),nan(nan),nan(nan),50.00(0.00),45.76(0.23)
"{'T': 8, 'gamma': 3.191, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",27115.00(3269.25),73.36(3.21),49.99(0.06),11.23(0.01),49.97(0.12),45.50(0.27)
"{'T': 8, 'gamma': 3.191, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",14239.60(478.81),86.01(0.47),nan(nan),nan(nan),49.92(0.05),45.54(0.16)
"{'T': 8, 'gamma': 3.191, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",11360.20(0.45),88.84(0.00),nan(nan),nan(nan),50.00(0.00),45.82(0.37)
"{'T': 8, 'gamma': 3.191, 'alpha': 1, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",36126.60(2826.14),64.50(2.78),50.39(nan),11.33(nan),50.19(0.19),45.86(0.36)
"{'T': 8, 'gamma': 3.191, 'alpha': 1, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",35843.60(2802.84),64.78(2.75),50.06(nan),11.25(nan),50.01(0.22),46.10(0.55)
"{'T': 8, 'gamma': 3.191, 'alpha': 1, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",11361.00(1.00),88.84(0.00),nan(nan),nan(nan),50.00(0.00),46.00(0.17)
"{'T': 8, 'gamma': 3.191, 'alpha': 1, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",11359.00(0.00),88.84(0.00),nan(nan),nan(nan),50.00(0.00),46.06(0.24)
"{'T': 8, 'gamma': 3.191, 'alpha': 1, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",11359.00(0.00),88.84(0.00),nan(nan),nan(nan),50.00(0.00),45.61(0.27)
"{'T': 8, 'gamma': 3.191, 'alpha': 1, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",11359.00(0.00),88.84(0.00),nan(nan),nan(nan),50.00(0.00),45.97(0.14)
"{'T': 8, 'gamma': 3.191, 'alpha': 1, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",11359.00(0.00),88.84(0.00),nan(nan),nan(nan),50.00(0.00),45.89(0.49)
"{'T': 8, 'gamma': 3.191, 'alpha': 1, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",11359.00(0.00),88.84(0.00),nan(nan),nan(nan),50.00(0.00),46.15(0.29)
"{'T': 8, 'gamma': 3.191, 'alpha': 1, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",11359.00(0.00),88.84(0.00),nan(nan),nan(nan),50.00(0.00),53.33(4.40)
"{'T': 8, 'gamma': 3.191, 'alpha': 1, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",11359.00(0.00),88.84(0.00),nan(nan),nan(nan),50.00(0.00),49.01(0.40)
"{'T': 8, 'gamma': 3.191, 'alpha': 1, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",11359.00(0.00),88.84(0.00),nan(nan),nan(nan),50.00(0.00),48.87(0.34)
"{'T': 8, 'gamma': 3.191, 'alpha': 1, 'beta0': 1, 'beta1': 1, 'beta2': 1}",11359.00(0.00),88.84(0.00),nan(nan),nan(nan),50.00(0.00),48.09(0.21)
"{'T': 16, 'gamma': 3.191, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",11357.00(0.00),88.84(0.00),49.60(0.11),11.32(0.05),50.00(0.00),47.66(0.85)
"{'T': 16, 'gamma': 3.191, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",11357.00(0.00),88.84(0.00),49.57(0.05),11.29(0.02),50.00(0.00),47.13(0.29)
"{'T': 16, 'gamma': 3.191, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",11361.60(1.95),88.84(0.00),nan(nan),nan(nan),50.00(0.00),47.75(0.58)
"{'T': 16, 'gamma': 3.191, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",33589.20(860.09),66.99(0.85),50.18(0.09),11.25(0.07),50.17(0.22),47.96(0.36)
"{'T': 16, 'gamma': 3.191, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",33517.60(967.47),67.06(0.95),50.12(0.42),11.24(0.12),50.11(0.36),47.65(0.24)
"{'T': 16, 'gamma': 3.191, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",11361.80(1.48),88.84(0.00),nan(nan),nan(nan),50.00(0.00),47.82(0.52)
"{'T': 16, 'gamma': 3.191, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",46843.80(440.50),53.97(0.43),49.98(0.39),11.18(0.09),49.98(0.36),47.80(0.23)
