,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 16.667, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",332.60(5.90),52.42(0.84),45.09(1.76),46.45(1.78),49.89(1.04),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",342.60(44.20),50.99(6.32),51.17(11.69),48.67(10.00),51.06(0.70),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",243.00(1.58),65.24(0.23),nan(nan),nan(nan),50.19(0.31),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",457.20(0.45),34.59(0.06),89.47(0.47),85.43(0.50),49.97(0.09),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",457.00(0.00),34.62(0.00),89.51(0.51),85.41(0.62),50.01(0.00),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",244.20(1.92),65.06(0.28),nan(nan),nan(nan),49.81(0.30),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",453.80(5.40),35.08(0.77),81.90(1.61),78.25(1.43),49.75(0.43),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",443.60(5.03),36.54(0.72),80.52(0.89),77.83(0.73),50.22(0.28),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",244.80(0.84),64.98(0.12),nan(nan),nan(nan),49.74(0.17),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 1, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",344.20(7.82),50.76(1.12),49.61(1.10),49.27(1.19),49.80(1.06),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 1, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",350.60(8.17),49.84(1.17),49.81(0.70),49.55(1.93),49.61(0.88),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 1, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",242.20(2.17),65.35(0.31),nan(nan),nan(nan),50.07(0.30),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 1, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",242.00(2.00),65.38(0.29),nan(nan),nan(nan),50.05(0.27),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 1, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",242.00(2.00),65.38(0.29),nan(nan),nan(nan),50.05(0.27),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 1, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",242.00(1.22),65.38(0.18),nan(nan),nan(nan),50.07(0.17),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 1, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",242.00(2.00),65.38(0.29),nan(nan),nan(nan),50.05(0.27),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 1, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",241.80(1.79),65.41(0.26),nan(nan),nan(nan),50.09(0.23),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 1, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",242.00(1.22),65.38(0.18),nan(nan),nan(nan),50.07(0.17),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 1, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",242.00(0.00),65.38(0.00),nan(nan),nan(nan),50.09(0.00),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 1, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",242.00(0.00),65.38(0.00),nan(nan),nan(nan),50.09(0.00),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 1, 'beta0': 1, 'beta1': 1, 'beta2': 1}",242.00(0.00),65.38(0.00),nan(nan),nan(nan),50.09(0.00),0.16(0.00)
"{'T': 16, 'gamma': 16.667, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",454.00(4.53),35.05(0.65),85.22(2.35),83.47(1.62),49.85(0.20),0.16(0.00)
"{'T': 16, 'gamma': 16.667, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",443.40(6.31),36.57(0.90),83.01(1.24),82.20(0.92),50.41(0.44),0.16(0.00)
"{'T': 16, 'gamma': 16.667, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",361.00(106.58),48.35(15.25),77.38(2.52),72.51(4.51),49.93(0.55),0.16(0.00)
