,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 16, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",221.80(0.84),36.81(0.24),nan(nan),nan(nan),50.26(0.35),0.11(0.00)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",108.40(2.07),69.12(0.59),70.00(0.51),76.15(0.40),59.67(0.49),0.10(0.00)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",107.80(0.84),69.29(0.24),70.51(0.12),76.63(0.13),59.77(0.37),0.10(0.00)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",222.80(0.45),36.52(0.13),nan(nan),nan(nan),50.07(0.25),0.10(0.00)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",155.60(8.20),55.67(2.34),53.26(1.64),67.30(1.26),51.59(2.20),0.10(0.00)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",160.60(8.79),54.25(2.50),53.30(1.54),67.66(0.92),49.96(2.57),0.10(0.00)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",222.00(1.58),36.75(0.45),nan(nan),nan(nan),50.35(0.47),0.11(0.00)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",220.60(5.18),37.15(1.47),37.18(1.21),57.30(0.87),43.85(1.49),0.14(0.05)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",141.20(43.68),59.77(12.44),59.00(12.71),69.62(7.69),55.49(7.76),0.10(0.00)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",221.40(1.14),36.92(0.32),nan(nan),nan(nan),50.49(0.28),0.11(0.00)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",114.80(10.03),67.29(2.86),63.74(1.11),71.47(0.83),59.72(3.04),0.10(0.00)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",110.60(4.39),68.49(1.25),68.37(1.28),74.27(0.86),60.02(1.24),0.11(0.00)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",222.60(1.14),36.58(0.32),nan(nan),nan(nan),50.43(0.39),0.11(0.00)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",115.00(5.70),67.24(1.62),64.68(2.36),72.10(1.58),59.53(1.68),0.11(0.00)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",113.20(6.14),67.75(1.75),67.22(1.44),73.54(1.08),59.90(1.42),0.11(0.00)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",222.60(1.14),36.58(0.32),nan(nan),nan(nan),50.43(0.39),0.11(0.00)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",159.20(6.38),54.64(1.82),52.97(1.42),67.12(1.63),50.79(1.63),0.11(0.00)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",159.40(8.79),54.59(2.50),53.48(2.63),66.83(1.32),50.85(2.59),0.11(0.00)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 1}",223.20(0.84),36.41(0.24),nan(nan),nan(nan),50.23(0.19),0.11(0.00)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",155.00(8.75),55.84(2.49),53.39(1.60),67.29(1.24),51.73(2.36),0.10(0.00)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",160.20(9.88),54.36(2.82),53.39(1.85),67.76(1.02),50.12(2.86),0.10(0.00)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",221.00(1.73),37.04(0.49),nan(nan),nan(nan),50.50(0.50),0.11(0.00)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",222.80(5.07),36.52(1.44),37.40(0.98),57.09(0.70),42.98(1.51),0.10(0.00)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",120.00(11.16),65.81(3.18),64.84(3.29),72.69(2.41),58.77(3.76),0.10(0.00)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",221.60(1.14),36.87(0.32),nan(nan),nan(nan),50.23(0.25),0.11(0.00)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",165.00(4.36),52.99(1.24),53.55(1.67),68.89(1.16),53.17(1.46),0.11(0.00)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",154.40(58.78),56.01(16.75),53.58(16.79),66.16(9.41),52.87(9.90),0.11(0.00)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",221.80(0.84),36.81(0.24),nan(nan),nan(nan),50.26(0.35),0.11(0.00)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",108.40(2.07),69.12(0.59),70.00(0.51),76.15(0.40),59.67(0.49),0.10(0.00)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",107.80(0.84),69.29(0.24),70.51(0.12),76.63(0.13),59.77(0.37),0.10(0.00)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",222.80(0.45),36.52(0.13),nan(nan),nan(nan),50.07(0.25),0.11(0.00)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",155.60(8.20),55.67(2.34),53.26(1.64),67.30(1.26),51.59(2.20),0.10(0.00)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",160.60(8.79),54.25(2.50),53.30(1.54),67.66(0.92),49.96(2.57),0.10(0.00)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",222.00(1.58),36.75(0.45),nan(nan),nan(nan),50.35(0.47),0.10(0.00)
"{'T': 16, 'gamma': 4.412, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",220.60(5.18),37.15(1.47),37.18(1.21),57.30(0.87),43.85(1.49),0.11(0.00)
