,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 7.143, 'alpha': 1, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",513.20(77.95),58.71(6.27),47.89(0.97),73.80(0.53),49.59(1.18),0.33(0.00)
"{'T': 8, 'gamma': 7.143, 'alpha': 1, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",942.60(0.55),24.17(0.04),nan(nan),nan(nan),50.14(0.11),0.33(0.00)
"{'T': 8, 'gamma': 7.143, 'alpha': 1, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",351.60(14.67),71.71(1.18),48.78(1.84),73.53(1.24),51.06(1.00),0.33(0.00)
"{'T': 8, 'gamma': 7.143, 'alpha': 1, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",322.40(9.37),74.06(0.75),48.77(0.27),73.05(0.18),50.12(0.54),0.33(0.00)
"{'T': 8, 'gamma': 7.143, 'alpha': 1, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",943.60(0.55),24.09(0.04),nan(nan),nan(nan),50.13(0.09),0.33(0.00)
"{'T': 8, 'gamma': 7.143, 'alpha': 1, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",323.40(20.37),73.98(1.64),49.75(0.69),73.62(0.66),51.53(0.75),0.33(0.00)
"{'T': 8, 'gamma': 7.143, 'alpha': 1, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",315.60(8.62),74.61(0.69),48.66(0.26),72.99(0.14),50.29(0.40),0.33(0.00)
"{'T': 8, 'gamma': 7.143, 'alpha': 1, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",943.60(0.55),24.09(0.04),nan(nan),nan(nan),50.13(0.09),0.33(0.00)
"{'T': 8, 'gamma': 7.143, 'alpha': 1, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",495.00(9.80),60.18(0.79),49.55(1.16),74.77(1.07),50.92(1.03),0.33(0.00)
"{'T': 8, 'gamma': 7.143, 'alpha': 1, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",493.00(12.71),60.34(1.02),49.82(1.02),74.84(0.52),51.23(1.18),0.33(0.01)
"{'T': 8, 'gamma': 7.143, 'alpha': 1, 'beta0': 1, 'beta1': 1, 'beta2': 1}",942.60(1.82),24.17(0.15),nan(nan),nan(nan),50.23(0.10),0.33(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",538.80(9.58),56.65(0.77),50.65(0.91),75.51(0.64),51.09(0.75),0.33(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",538.00(28.52),56.72(2.29),50.36(1.29),75.38(0.65),51.11(1.78),0.33(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",941.60(2.30),24.25(0.19),nan(nan),nan(nan),50.15(0.19),0.33(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",722.20(18.82),41.90(1.51),51.30(0.45),76.11(0.28),50.19(0.78),0.32(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",509.80(78.87),58.99(6.35),47.90(0.78),73.79(0.39),49.37(1.06),0.32(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",945.00(1.41),23.97(0.11),nan(nan),nan(nan),49.83(0.19),0.33(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",631.00(8.49),49.24(0.68),49.49(1.24),74.80(0.45),49.75(1.15),0.33(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",799.20(154.86),35.70(12.46),50.28(1.62),75.80(1.12),50.12(0.32),0.36(0.05)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",942.60(1.14),24.17(0.09),nan(nan),nan(nan),50.07(0.06),0.33(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",300.60(0.89),75.82(0.07),46.36(0.41),72.42(0.19),49.87(0.12),0.33(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",301.00(0.00),75.78(0.00),46.37(0.19),72.42(0.10),49.83(0.05),0.32(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",942.20(1.30),24.20(0.10),nan(nan),nan(nan),50.14(0.09),0.33(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",538.60(9.81),56.67(0.79),50.68(0.89),75.52(0.62),51.13(0.70),0.32(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",539.20(28.38),56.62(2.28),50.34(1.35),75.40(0.62),51.07(1.81),0.32(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",943.20(1.92),24.12(0.15),nan(nan),nan(nan),50.06(0.16),0.33(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",727.20(15.06),41.50(1.21),50.80(0.56),75.70(0.33),49.64(0.82),0.33(0.00)
