,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",1669.00(0.00),47.78(0.00),nan(nan),nan(nan),50.00(0.00),0.97(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",1669.00(0.00),47.78(0.00),nan(nan),nan(nan),50.00(0.00),1.01(0.08)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",1669.00(0.00),47.78(0.00),nan(nan),nan(nan),50.00(0.00),0.97(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 1}",1669.00(0.00),47.78(0.00),nan(nan),nan(nan),50.00(0.00),0.97(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",1577.00(5.34),50.66(0.17),50.47(0.05),52.08(0.08),50.42(0.17),0.96(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",1575.80(4.82),50.69(0.15),50.47(0.04),52.12(0.08),50.46(0.16),0.96(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",1669.60(1.14),47.76(0.04),nan(nan),nan(nan),49.97(0.04),0.97(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",1612.00(21.13),49.56(0.66),48.90(0.45),50.70(0.29),49.65(0.68),0.96(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",1541.80(16.50),51.76(0.52),51.25(0.30),52.85(0.34),51.50(0.55),1.00(0.08)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",1668.00(1.58),47.81(0.05),nan(nan),nan(nan),50.02(0.05),0.97(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",1597.80(8.14),50.01(0.25),49.75(0.24),51.79(0.14),50.15(0.26),0.97(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",1667.60(1.67),47.82(0.05),51.44(0.62),53.69(0.51),50.03(0.05),0.97(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",1668.20(1.10),47.80(0.03),nan(nan),nan(nan),50.02(0.03),0.97(0.00)
