,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",579.40(11.26),47.09(1.03),41.78(1.29),44.62(0.94),47.00(1.03),3.47(0.12)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",568.40(6.66),48.09(0.61),35.11(0.77),41.37(0.28),47.98(0.61),8.52(0.06)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",563.00(8.37),48.58(0.76),35.36(0.63),41.64(0.27),48.47(0.76),8.56(0.08)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",566.40(8.96),48.27(0.82),36.56(0.80),42.03(0.36),48.16(0.82),8.54(0.10)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",567.80(10.06),48.15(0.92),37.43(0.94),42.37(0.38),48.04(0.92),8.62(0.04)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",566.60(8.91),48.26(0.81),38.56(1.01),42.80(0.37),48.15(0.81),8.61(0.19)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",586.60(10.16),46.43(0.93),37.22(1.15),42.28(0.73),46.32(0.93),6.09(0.14)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",584.60(7.23),46.61(0.66),37.50(1.38),42.49(0.73),46.51(0.66),6.11(0.12)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",585.40(4.10),46.54(0.37),38.74(1.39),43.07(0.62),46.44(0.38),6.12(0.08)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",585.00(3.61),46.58(0.33),39.65(1.35),43.54(0.62),46.48(0.33),6.13(0.07)
