,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",198.80(5.36),43.20(1.53),43.75(1.10),61.98(0.33),40.28(1.53),1.20(0.07)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",193.20(4.87),44.80(1.39),44.28(1.46),62.34(0.47),41.53(1.11),1.19(0.03)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",230.40(6.58),34.17(1.88),37.92(0.21),57.12(0.42),32.67(2.48),3.30(0.04)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",219.40(5.68),37.31(1.62),41.88(0.42),61.04(0.39),33.98(1.56),3.32(0.09)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",210.20(4.09),39.94(1.17),43.10(0.72),62.14(0.49),36.31(0.94),3.32(0.04)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",202.40(4.39),42.17(1.26),43.58(0.76),62.43(0.41),38.50(1.28),3.32(0.07)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",196.60(4.93),43.83(1.41),44.13(0.92),62.71(0.38),39.83(1.18),3.31(0.04)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",220.00(6.04),37.14(1.73),37.00(0.48),56.34(0.22),36.55(2.61),1.01(0.04)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",206.20(3.19),41.09(0.91),40.66(0.68),59.34(0.53),38.35(1.91),1.03(0.08)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",196.40(2.07),43.89(0.59),42.69(1.51),60.78(1.34),40.15(1.35),1.01(0.04)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",187.40(3.71),46.46(1.06),43.61(1.73),61.41(1.71),42.20(1.94),1.01(0.02)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",185.40(2.30),47.03(0.66),44.33(1.96),61.78(1.75),42.37(1.16),1.01(0.03)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",230.00(3.61),34.29(1.03),38.00(0.63),57.18(0.28),32.83(1.12),2.06(0.03)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",219.80(3.49),37.20(1.00),41.57(0.69),60.13(0.44),32.99(0.71),2.09(0.08)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",207.20(4.60),40.80(1.32),42.62(0.95),61.10(0.36),36.22(1.41),2.07(0.02)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",201.20(3.42),42.51(0.98),43.14(0.90),61.48(0.27),38.04(1.19),2.05(0.02)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",195.60(3.05),44.11(0.87),43.63(0.73),61.86(0.20),39.53(1.14),2.09(0.08)
