,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",306.40(6.39),60.05(0.83),48.91(1.22),34.18(0.90),48.21(1.00),0.59(0.01)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",310.20(5.07),59.56(0.66),49.00(0.99),34.19(0.67),47.84(0.86),0.59(0.01)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",314.00(6.93),59.06(0.90),49.08(0.78),34.02(0.45),47.45(0.99),0.59(0.01)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",331.80(10.21),56.74(1.33),47.90(1.30),33.61(0.92),47.77(1.54),0.63(0.00)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",332.00(7.97),56.71(1.04),48.67(1.12),34.15(0.81),47.34(1.24),0.63(0.00)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",331.20(10.57),56.82(1.38),49.01(1.06),34.20(0.86),47.52(1.69),0.63(0.00)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",329.00(10.22),57.11(1.33),49.16(1.11),34.14(0.87),47.93(1.53),0.63(0.01)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",330.20(10.92),56.95(1.42),49.25(1.11),33.88(0.97),47.71(1.44),0.63(0.00)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",298.00(6.28),61.15(0.82),47.22(0.55),33.03(0.41),48.48(0.86),1.44(0.07)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",295.00(4.95),61.54(0.65),47.85(0.56),33.51(0.46),48.45(0.75),1.41(0.02)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",294.20(3.56),61.64(0.46),48.21(0.70),33.38(0.52),48.55(0.70),1.42(0.05)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",297.40(4.98),61.23(0.65),48.60(0.76),33.50(0.54),48.35(0.67),1.41(0.01)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",298.40(3.97),61.10(0.52),49.17(0.90),33.70(0.65),48.46(0.44),1.40(0.02)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",338.20(7.33),55.91(0.96),47.41(0.84),33.47(0.61),47.20(0.74),0.48(0.00)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",330.80(4.92),56.87(0.64),47.77(0.84),33.52(0.52),47.52(0.54),0.51(0.07)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",330.00(4.06),56.98(0.53),47.72(1.06),33.29(0.59),47.38(0.54),0.48(0.00)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",329.60(5.22),57.03(0.68),47.60(1.04),33.13(0.69),47.33(0.60),0.48(0.00)
