,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",278.40(1.14),70.94(0.12),46.47(0.34),69.50(0.20),49.88(0.12),1.78(0.01)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",276.20(1.10),71.17(0.11),46.58(0.32),68.83(0.21),50.02(0.17),1.79(0.01)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",276.20(0.84),71.17(0.09),46.98(0.40),69.13(0.32),50.09(0.08),1.82(0.08)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",278.20(1.48),70.96(0.15),47.35(0.46),69.40(0.32),49.96(0.18),1.78(0.00)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",279.40(0.89),70.84(0.09),47.83(0.49),69.62(0.29),49.92(0.11),1.78(0.01)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",276.00(0.71),71.19(0.07),46.71(0.21),69.53(0.16),49.95(0.09),3.34(0.07)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",275.60(0.55),71.23(0.06),46.79(0.37),68.78(0.20),50.02(0.09),3.31(0.01)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",275.40(1.14),71.25(0.12),47.13(0.42),69.00(0.24),50.12(0.18),3.35(0.07)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",276.60(0.55),71.13(0.06),47.44(0.43),69.17(0.26),50.06(0.09),3.30(0.01)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",277.80(0.45),71.00(0.05),47.94(0.40),69.35(0.31),50.01(0.08),3.34(0.07)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",278.00(1.58),70.98(0.17),46.61(0.37),69.60(0.23),49.87(0.10),1.64(0.01)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",276.60(0.89),71.13(0.09),46.29(0.34),68.71(0.22),49.97(0.05),1.64(0.00)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",277.20(1.79),71.06(0.19),46.52(0.22),68.77(0.34),49.97(0.15),1.63(0.00)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",277.20(1.79),71.06(0.19),46.98(0.19),69.01(0.35),49.97(0.11),1.67(0.06)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",277.60(1.14),71.02(0.12),47.54(0.24),69.29(0.41),49.96(0.06),1.63(0.00)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",276.40(1.14),71.15(0.12),46.54(0.14),69.41(0.12),49.96(0.12),2.39(0.01)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",275.40(1.14),71.25(0.12),46.54(0.29),68.59(0.17),50.04(0.14),2.42(0.08)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",275.60(1.14),71.23(0.12),46.87(0.43),68.85(0.22),50.04(0.12),2.38(0.01)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",276.40(0.89),71.15(0.09),47.26(0.43),69.05(0.24),50.01(0.07),2.39(0.01)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",277.00(0.00),71.09(0.00),47.77(0.45),69.29(0.30),49.98(0.05),2.43(0.09)
