,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",323.20(8.38),43.10(1.48),36.82(1.59),31.03(0.87),39.85(1.42),1.73(0.05)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",403.00(6.82),29.05(1.20),26.22(0.61),26.45(0.29),27.72(1.20),3.81(0.05)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",344.20(4.32),39.40(0.76),31.09(0.99),28.04(0.28),35.76(0.45),3.84(0.06)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",336.40(6.35),40.77(1.12),32.80(1.08),29.11(0.36),36.99(1.08),3.85(0.08)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",332.60(6.35),41.44(1.12),34.07(1.16),29.72(0.42),37.52(0.99),3.81(0.05)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",327.60(6.31),42.32(1.11),35.69(1.11),30.48(0.38),38.53(0.99),3.88(0.08)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",372.80(9.09),34.37(1.60),29.04(0.60),26.93(0.39),33.74(1.21),2.97(0.05)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",353.60(6.84),37.75(1.20),31.45(0.77),28.00(0.52),35.57(0.81),2.98(0.08)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",345.80(9.65),39.12(1.70),33.21(0.96),29.01(0.57),36.24(1.13),2.95(0.03)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",334.00(5.70),41.20(1.00),34.51(0.89),29.67(0.65),38.10(0.69),2.99(0.08)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",327.60(6.80),42.32(1.20),36.26(0.78),30.49(0.60),39.17(1.02),2.96(0.04)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",400.40(5.94),29.51(1.05),25.37(0.42),25.90(0.19),27.54(1.38),13.26(0.10)
